BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,LAST_MOD_DATE,LAST_MOD_TIME,LAST_CERT_DATE,LAST_CERT_TIME,ADDCORR_FLG,ADDCORR_DATE
201301,1,0,201301,31,2359,70300,422180,ALABAMA,1,2013,January,Drought,Z,66,DALE,TAE,0,0,0,0,,,Drought Monitor,,99999999,9999,20130204,1608,,
201301,1,0,201301,31,2359,70580,423795,COLORADO,8,2013,January,Drought,Z,4,ELKHEAD AND PARK MOUNTAINS,GJT,0,0,0,0,0.00K,0.00K,Drought Monitor,,20140108,1749,20140108,1750,1,20140115
201301,1,1230,201301,1,1230,71728,431896,CALIFORNIA,6,2013,January,Sneakerwave,Z,505,COASTAL NORTH BAY INCLUDING POINT REYES NATIONAL SEASHORE,MTR,0,0,1,0,0.00K,0.00K,Newspaper,,20130329,1035,20130329,1137,,
201301,1,1800,201301,2,1400,70755,424932,WYOMING,56,2013,January,Heavy Snow,Z,57,WYOMING BLACK HILLS,UNR,0,0,0,0,0.00K,0.00K,Law Enforcement,,20130329,1030,20130329,1205,,
201301,1,1800,201301,2,1400,70753,424935,SOUTH DAKOTA,46,2013,January,Heavy Snow,Z,24,NORTHERN BLACK HILLS,UNR,0,0,0,0,0.00K,0.00K,Law Enforcement,,20130329,1028,20130329,1205,,
201301,1,0,201301,31,2359,70580,423801,COLORADO,8,2013,January,Drought,Z,6,GRAND VALLEY,GJT,0,0,0,0,0.00K,0.00K,Drought Monitor,,20140108,1749,20140108,1750,1,20140115
201301,1,0,201301,31,2359,70580,423799,COLORADO,8,2013,January,Drought,Z,8,CENTRAL COLORADO RIVER BASIN,GJT,0,0,0,0,0.00K,0.00K,Drought Monitor,,20140108,1749,20140108,1750,1,20140115
201301,1,0,201301,31,2359,70580,423798,COLORADO,8,2013,January,Drought,Z,10,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS,GJT,0,0,0,0,0.00K,0.00K,Drought Monitor,,20140108,1749,20140108,1750,1,20140115
201301,1,0,201301,31,2359,70580,423797,COLORADO,8,2013,January,Drought,Z,13,FLATTOP MOUNTAINS,GJT,0,0,0,0,0.00K,0.00K,Drought Monitor,,20140108,1749,20140108,1750,1,20140115
201301,1,0,201301,31,2359,70580,423789,COLORADO,8,2013,January,Drought,Z,1,LOWER YAMPA RIVER BASIN,GJT,0,0,0,0,0.00K,0.00K,Drought Monitor,,20140108,1749,20140108,1750,1,20140115
